date,product_id,product_name,sales,inventory_level
2024-11-29 05:19:18.312748,P001,Gaming Laptop,24,176
2024-11-30 05:19:18.312748,P001,Gaming Laptop,18,158
2024-12-01 05:19:18.312748,P001,Gaming Laptop,26,132
2024-12-02 05:19:18.312748,P001,Gaming Laptop,35,97
2024-12-03 05:19:18.312748,P001,Gaming Laptop,18,79
2024-12-04 05:19:18.312748,P001,Gaming Laptop,18,61
2024-12-05 05:19:18.312748,P001,Gaming Laptop,37,124
2024-12-06 05:19:18.312748,P001,Gaming Laptop,29,95
2024-12-07 05:19:18.312748,P001,Gaming Laptop,16,79
2024-12-08 05:19:18.312748,P001,Gaming Laptop,27,52
2024-12-09 05:19:18.312748,P001,Gaming Laptop,17,135
2024-12-10 05:19:18.312748,P001,Gaming Laptop,17,118
2024-12-11 05:19:18.312748,P001,Gaming Laptop,24,94
2024-12-12 05:19:18.312748,P001,Gaming Laptop,3,91
2024-12-13 05:19:18.312748,P001,Gaming Laptop,5,86
2024-12-14 05:19:18.312748,P001,Gaming Laptop,17,69
2024-12-15 05:19:18.312748,P001,Gaming Laptop,13,56
2024-12-16 05:19:18.312748,P001,Gaming Laptop,26,130
2024-12-17 05:19:18.312748,P001,Gaming Laptop,14,116
2024-12-18 05:19:18.312748,P001,Gaming Laptop,9,107
2024-12-19 05:19:18.312748,P001,Gaming Laptop,38,69
2024-12-20 05:19:18.312748,P001,Gaming Laptop,21,48
2024-12-21 05:19:18.312748,P001,Gaming Laptop,24,124
2024-12-22 05:19:18.312748,P001,Gaming Laptop,10,114
2024-12-23 05:19:18.312748,P001,Gaming Laptop,18,96
2024-12-24 05:19:18.312748,P001,Gaming Laptop,25,71
2024-12-25 05:19:18.312748,P001,Gaming Laptop,13,58
2024-12-26 05:19:18.312748,P001,Gaming Laptop,28,130
2024-12-27 05:19:18.312748,P001,Gaming Laptop,18,112
2024-12-28 05:19:18.312748,P001,Gaming Laptop,22,90
2024-12-29 05:19:18.312748,P001,Gaming Laptop,19,71
2024-12-30 05:19:18.312748,P001,Gaming Laptop,43,128
2024-12-31 05:19:18.312748,P001,Gaming Laptop,25,103
2025-01-01 05:19:18.312748,P001,Gaming Laptop,14,89
2025-01-02 05:19:18.312748,P001,Gaming Laptop,33,56
2025-01-03 05:19:18.312748,P001,Gaming Laptop,13,43
